Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:57:18.965000,LEC,16,0 days 00:01:28.179000,1.0,1.0,,,,0 days 00:00:29.989000,0 days 00:00:28.398000,,0 days 00:56:50.708000,0 days 00:57:19.087000,316.0,313.0,311.0,300.0,False,MEDIUM,1.0,True,Ferrari,0 days 00:55:50.494000,2024-09-01 13:03:34.413,1,2.0,False,,False,False
0 days 00:58:44.361000,LEC,16,0 days 00:01:25.396000,2.0,1.0,,,0 days 00:00:27.707000,0 days 00:00:29.265000,0 days 00:00:28.424000,0 days 00:57:46.661000,0 days 00:58:15.926000,0 days 00:58:44.350000,315.0,325.0,312.0,325.0,True,MEDIUM,2.0,True,Ferrari,0 days 00:57:18.965000,2024-09-01 13:05:02.884,1,2.0,False,,False,True
0 days 01:00:09.540000,LEC,16,0 days 00:01:25.179000,3.0,1.0,,,0 days 00:00:27.679000,0 days 00:00:29.001000,0 days 00:00:28.499000,0 days 00:59:12.029000,0 days 00:59:41.030000,0 days 01:00:09.529000,313.0,324.0,313.0,328.0,True,MEDIUM,3.0,True,Ferrari,0 days 00:58:44.361000,2024-09-01 13:06:28.280,1,2.0,False,,False,True
0 days 01:01:34.350000,LEC,16,0 days 00:01:24.810000,4.0,1.0,,,0 days 00:00:27.653000,0 days 00:00:28.883000,0 days 00:00:28.274000,0 days 01:00:37.182000,0 days 01:01:06.065000,0 days 01:01:34.339000,314.0,324.0,312.0,327.0,True,MEDIUM,4.0,True,Ferrari,0 days 01:00:09.540000,2024-09-01 13:07:53.459,1,2.0,False,,False,True
0 days 01:02:58.953000,LEC,16,0 days 00:01:24.603000,5.0,1.0,,,0 days 00:00:27.630000,0 days 00:00:28.790000,0 days 00:00:28.183000,0 days 01:02:01.969000,0 days 01:02:30.759000,0 days 01:02:58.942000,313.0,325.0,312.0,321.0,True,MEDIUM,5.0,True,Ferrari,0 days 01:01:34.350000,2024-09-01 13:09:18.269,1,2.0,False,,False,True
0 days 01:04:23.616000,LEC,16,0 days 00:01:24.663000,6.0,1.0,,,0 days 00:00:27.596000,0 days 00:00:28.945000,0 days 00:00:28.122000,0 days 01:03:26.538000,0 days 01:03:55.483000,0 days 01:04:23.605000,315.0,325.0,312.0,325.0,False,MEDIUM,6.0,True,Ferrari,0 days 01:02:58.953000,2024-09-01 13:10:42.872,1,2.0,False,,False,True
0 days 01:05:48.050000,LEC,16,0 days 00:01:24.434000,7.0,1.0,,,0 days 00:00:27.645000,0 days 00:00:28.701000,0 days 00:00:28.088000,0 days 01:04:51.250000,0 days 01:05:19.951000,0 days 01:05:48.039000,314.0,326.0,312.0,329.0,True,MEDIUM,7.0,True,Ferrari,0 days 01:04:23.616000,2024-09-01 13:12:07.535,1,2.0,False,,False,True
0 days 01:07:12.619000,LEC,16,0 days 00:01:24.569000,8.0,1.0,,,0 days 00:00:27.557000,0 days 00:00:28.771000,0 days 00:00:28.241000,0 days 01:06:15.596000,0 days 01:06:44.367000,0 days 01:07:12.608000,,325.0,313.0,333.0,False,MEDIUM,8.0,True,Ferrari,0 days 01:05:48.050000,2024-09-01 13:13:31.969,1,2.0,False,,False,True
0 days 01:08:36.981000,LEC,16,0 days 00:01:24.362000,9.0,1.0,,,0 days 00:00:27.542000,0 days 00:00:28.781000,0 days 00:00:28.039000,0 days 01:07:40.150000,0 days 01:08:08.931000,0 days 01:08:36.970000,,326.0,312.0,,True,MEDIUM,9.0,True,Ferrari,0 days 01:07:12.619000,2024-09-01 13:14:56.538,1,2.0,False,,False,True
0 days 01:10:01.413000,LEC,16,0 days 00:01:24.432000,10.0,1.0,,,0 days 00:00:27.515000,0 days 00:00:28.840000,0 days 00:00:28.077000,0 days 01:09:04.485000,0 days 01:09:33.325000,0 days 01:10:01.402000,,325.0,311.0,334.0,False,MEDIUM,10.0,True,Ferrari,0 days 01:08:36.981000,2024-09-01 13:16:20.900,1,2.0,False,,False,True
0 days 01:11:26.259000,LEC,16,0 days 00:01:24.846000,11.0,1.0,,,0 days 00:00:27.633000,0 days 00:00:28.951000,0 days 00:00:28.262000,0 days 01:10:29.035000,0 days 01:10:57.986000,0 days 01:11:26.248000,313.0,316.0,311.0,323.0,False,MEDIUM,11.0,True,Ferrari,0 days 01:10:01.413000,2024-09-01 13:17:45.332,1,2.0,False,,False,True
0 days 01:12:51.175000,LEC,16,0 days 00:01:24.916000,12.0,1.0,,,0 days 00:00:27.680000,0 days 00:00:28.971000,0 days 00:00:28.265000,0 days 01:11:53.928000,0 days 01:12:22.899000,0 days 01:12:51.164000,312.0,316.0,311.0,321.0,False,MEDIUM,12.0,True,Ferrari,0 days 01:11:26.259000,2024-09-01 13:19:10.178,1,2.0,False,,False,True
0 days 01:14:16.704000,LEC,16,0 days 00:01:25.529000,13.0,1.0,,,0 days 00:00:27.812000,0 days 00:00:29.177000,0 days 00:00:28.540000,0 days 01:13:18.976000,0 days 01:13:48.153000,0 days 01:14:16.693000,311.0,315.0,309.0,,False,MEDIUM,13.0,True,Ferrari,0 days 01:12:51.175000,2024-09-01 13:20:35.094,1,2.0,False,,False,True
0 days 01:15:42.310000,LEC,16,0 days 00:01:25.606000,14.0,1.0,,,0 days 00:00:27.839000,0 days 00:00:29.217000,0 days 00:00:28.550000,0 days 01:14:44.532000,0 days 01:15:13.749000,0 days 01:15:42.299000,312.0,314.0,310.0,320.0,False,MEDIUM,14.0,True,Ferrari,0 days 01:14:16.704000,2024-09-01 13:22:00.623,1,2.0,False,,False,True
0 days 01:17:12.502000,LEC,16,0 days 00:01:30.192000,15.0,1.0,,0 days 01:17:08.772000,0 days 00:00:28.034000,0 days 00:00:29.361000,0 days 00:00:32.797000,0 days 01:16:10.333000,0 days 01:16:39.694000,0 days 01:17:12.491000,,314.0,,318.0,False,MEDIUM,15.0,True,Ferrari,0 days 01:15:42.310000,2024-09-01 13:23:26.229,1,3.0,False,,False,False
0 days 01:18:57.390000,LEC,16,0 days 00:01:44.888000,16.0,2.0,0 days 01:17:33.191000,,0 days 00:00:47.985000,0 days 00:00:28.750000,0 days 00:00:28.153000,0 days 01:18:00.476000,0 days 01:18:29.226000,0 days 01:18:57.379000,313.0,314.0,313.0,284.0,False,HARD,1.0,True,Ferrari,0 days 01:17:12.502000,2024-09-01 13:24:56.421,1,7.0,False,,False,False
0 days 01:20:21.660000,LEC,16,0 days 00:01:24.270000,17.0,2.0,,,0 days 00:00:27.458000,0 days 00:00:28.730000,0 days 00:00:28.082000,0 days 01:19:24.837000,0 days 01:19:53.567000,0 days 01:20:21.649000,314.0,318.0,314.0,322.0,True,HARD,2.0,True,Ferrari,0 days 01:18:57.390000,2024-09-01 13:26:41.309,1,6.0,False,,False,True
0 days 01:21:45.535000,LEC,16,0 days 00:01:23.875000,18.0,2.0,,,0 days 00:00:27.408000,0 days 00:00:28.571000,0 days 00:00:27.896000,0 days 01:20:49.057000,0 days 01:21:17.628000,0 days 01:21:45.524000,316.0,327.0,315.0,329.0,True,HARD,3.0,True,Ferrari,0 days 01:20:21.660000,2024-09-01 13:28:05.579,1,6.0,False,,False,True
